ecz,year,cdf_release,cdf_disbursed,cdf_expenditure,cdf_burn_rate,projects_release,projects_expenditure,project_burn_rate,loans_issued,loans_due,loans_recovered,repay_rate
chifubu,2023,28.198221,28.08254,22.646618,0.8031222253347117,15.198297,0,0,2.445,0.272672,0.032432,0.11894143879826312
chifubu,2024,16.192463,13.492463,38.182316,0.9891212330801038,19.017286,20.56557,1.0814145614679191,9.1452,4.609464,0.275735,0.05981931955646036
chifunabuli,2022,25.739911,23.739911,3.230054,0.1254881572822843,12.855162,0,0,NA,NA,NA,NA
chifunabuli,2023,27.26147,26.209038,15.281367,0.56054816559782,14.279546,4.928,0.34510901116884246,0.4,NA,0,NA
chifunabuli,2024,2.825,0,34.973213,0.9990728929690156,19.219976,19.219203,0.9999597814274066,4.153686,2.863761,0.743807,0.25973082250928065
chikankata,2022,25.739911,23.739911,5.568897,0.2163526128742248,11.938162,0.185894,0.01557140873109277,NA,NA,NA,NA
chikankata,2023,27.26147,26.22294,18.976954,0.6961089772488425,14.284335,11.229995,0.7861755552498594,3.00998,1.165439,0.53584,0.4597752434919374
chikankata,2024,11.9,9,31.747158,0.7925413757363369,22.744546,19.428803,0.8542181057384043,3.12998,2.73399,0.873678,0.3195615199762984
chilanga,2022,25.7,23.749911,20.690498,0.8050777431906615,11.938162,13.34533,1.1178714110262535,NA,NA,NA,NA
chilanga,2023,22.6,16.886098,27.483997,1.2161060619469026,9.618075,0,0,3.059982,0,0.751877,Inf
chilanga,2024,23.438311,20.738311,27.771299,0.7407733947341825,21.137836,14.139385,0.668913553875619,3.9516,0.683692,0.111576,0.16319629306763864
chililabombwe,2022,25.739911,23.739911,8.762858,0.34043855085590624,11.938162,2.701559,0.22629605796939264,NA,NA,NA,NA
chililabombwe,2023,28.198221,28.08254,24.739134,0.8773296017504083,15.269337,2.274906,0.148985250636619,NA,NA,NA,NA
chililabombwe,2024,12.360772,9.660772,31.279746,0.9984302365944572,18.734021,19.758894,1.054706514954798,4.497463,2.380225,0,0
chilubi,2022,25.7,23.739911,4.993657,0.194305719844358,11.938162,0.756548,0.06337223435232325,NA,NA,NA,NA
chilubi,2023,28.198221,28.096442,20.272363,0.71892347393121,29.264845,9.543326,0.3261020517962764,3.624982,0.589478,0,0
chilubi,2024,11.85,9.1,19.9503,0.4985043470299695,26.252636,12.141728,0.462495575682381,NA,NA,NA,NA
chimbamilonga,2022,25.7,23.739911,3.234849,0.12586961089494164,11.938162,0,0,NA,NA,NA,NA
chimbamilonga,2023,28.198221,28.096442,19.313753,0.6849280669159945,29.114603,8.176441,0.28083642425074457,2.579445,0.515889,0.283627,0.5497829959545562
chimbamilonga,2024,12.975,10.5,37.044229,0.8495893504848838,34.461906,27.883689,0.8091162746483029,3.492464,0.71963,0.431755,0.5999680391312202
chimwemwe,2022,25.739911,23.739911,4.670292,0.18144165300338452,11.938162,0.456896,0.0382718880846147,NA,NA,NA,NA
chimwemwe,2023,28.198218,28.082534,29.110834,1.0323643146527912,15.216297,6.288798,0.41329358910384045,6.128872,0.323348,0.096381,0.2980720462164603
chimwemwe,2024,4.74065,1.784475,25.302922,0.9696707455071488,18.345792,12.169413,0.663335385029984,2.962,4.743626,1.228063,0.2588869780206112
chingola,2022,25.739911,23.739911,8.660707,0.3364699668153476,11.938162,1.660271,0.13907258085457375,NA,NA,NA,NA
chingola,2023,28.198221,28.08254,30.787838,1.0918361835663322,15.331978,6.823279,0.445035793816036,2.991,0.255768,0,0
chingola,2024,17.7,15,29.500965,0.952404573394012,15.674169,15.363276,0.9801652642637704,3.37424,2.487921,1.206969,0.485131561653284
chinsali,2022,25.739911,23.739911,3.993332,0.1551416397671305,11.938162,0,0,NA,NA,NA,NA
chinsali,2023,27.26147,26.22294,20.255714,0.7430162056558212,14.337847,0.957953,0.06681289038723875,6.12565,1.632058,0.299287,0.18338012497104883
chinsali,2024,10.92,8,31.336575,0.8515832061503094,23.517998,19.269394,0.8193466977928988,3.73089,0.746291,0,0
chipangali,2022,25.739911,23.739911,11.690021,0.45415934033338345,11.938162,4.18929,0.3509158277463482,NA,NA,NA,NA
chipangali,2023,28.198221,28.08254,30.774533,1.091364345289726,15.269337,17.544106,1.148976278406849,6.09389,0.905631,0.26772,0.295617089079327
chipangali,2024,30.199134,30.199134,30.568278,0.7131409750565069,26.032937,16.107524,0.6187363338988605,3.403938,0.727207,0,0
chipata central,2022,25.739911,23.739911,5.74217,0.22308429893172513,11.938162,0,0,NA,NA,NA,NA
chipata central,2023,27.26147,26.209038,19.08444,0.7000517580306564,14.756728,14.404436,0.9761266860783772,6.157602,0.463346,0.463346,1
chipata central,2024,18.164826,15.464826,32.882286,0.931925901850538,22.644728,20.551188,0.9075484589613972,3.492463,0.42514,0,0
chipili,2022,25.739911,23.739911,5.436438,0.21120655778491232,11.938162,1.444142,0.12096853770287253,NA,NA,NA,NA
chipili,2023,27.26147,26.209038,27.848027,1.021515971075661,14.762086,10.137318,0.6867131108706452,NA,NA,NA,NA
chipili,2024,25.671564,22.971564,37.225922,0.8174328807608514,26.076612,24.479368,0.9387480244749586,5.827863,1.579147,0.61499,0.3894444279094979
chirundu,2022,25.739911,23.739911,8.716667,0.3386440225065269,11.938162,4.680788,0.3920861519553848,NA,NA,NA,NA
chirundu,2023,27.26147,26.209038,40.507957,1.485905088757136,15.32445,6.355822,0.4147504151861894,NA,NA,NA,NA
chirundu,2024,12.85,10,24.88573,0.92728848158534,20.925962,16.661843,0.796228292873704,4.391251,2.324915,0,0
chisamba,2022,25.739911,23.739911,4.183509,0.1625300491520736,11.938162,1.073574,0.08992791352638706,NA,NA,NA,NA
chisamba,2023,27.26147,26.209038,28.47645,1.0445676627122455,14.762086,1.685532,0.11417979816673604,4.543556,0.478188,0.219914,0.459890252369361
chisamba,2024,15.288898,12.513898,28.953713,0.8476697925422236,16.843654,13.043074,0.7743613113876597,3.233549,1.172897,0.022114,0.01885417048555841
chitambo,2022,25.739911,23.739911,2.670426,0.10374651256564174,11.938162,0,0,NA,NA,NA,NA
chitambo,2023,27.26147,26.209038,22.151665,0.8125631156353638,14.762086,1.851817,0.1254441276117752,5.322805,0.534481,0,0
chitambo,2024,4.532761,1.832761,27.789984,0.8773471179935631,18.68984,17.974468,0.9617240168990212,NA,NA,NA,NA
choma central,2022,25.739911,23.739911,7.187379,0.2792309188637055,11.938162,1.118829,0.09371869807094256,NA,NA,NA,NA
choma central,2023,27.26147,26.22294,23.39029,0.8579981196905376,14.229546,8.730829,0.6135704540397845,5.407363,5.999803,0.176406,0.02940196536452946
choma central,2024,11.725,9,29.267502,0.8937747383653472,19.045906,16.630567,0.8731832972398372,5.297415,1.04385,0,0
chongwe,2022,25.739911,23.739911,10.8491,0.42148941385228567,11.938162,1.660271,0.13907258085457375,NA,NA,NA,NA
chongwe,2023,28.198221,28.096442,32.906134,1.16695780205425,15.32445,18.94903,1.236522681075014,5.678228,0.76916,0.329942,0.4289640646939518
chongwe,2024,28.158722,25.348722,27.944709,0.7916469260436279,20.21375,15.202195,0.7520719807062025,3.296727,0.270816,0.111853,0.41302212572373864
dundumwezi,2022,25.739911,23.739911,4.89942,0.19034331548388023,11.938162,2.41319,0.20214083206443337,NA,NA,NA,NA
dundumwezi,2023,27.26147,26.22294,22.718916,0.8333709077316814,14.619613,0.056575,0.00386980147832914,5.575169,5.853927,0.040461,0.00691177050892503
dundumwezi,2024,14.90625,13,28.797766,0.7536075742599183,20.682598,16.665265,0.8057626512878121,3.41,3.129695,0,0
feira,2022,25.739911,23.739911,3.677565,0.1428740371324516,11.938162,0.348872,0.02922325899078937,NA,NA,NA,NA
feira,2023,28.198221,28.08254,34.396365,1.2198062069234794,15.331978,15.204836,0.991707397440826,1.025,0.202175,0.071042,0.3513886484481266
feira,2024,24.711883,20.791883,35.134283,0.929532313872072,23.374096,20.639756,0.8830183635764994,4.756437,3.231471,0.551951,0.1708048749315714
gwembe,2022,25.739911,23.739911,4.17363,0.1621462482912237,11.938162,1.125137,0.09424708761700502,NA,NA,NA,NA
gwembe,2023,27.26147,26.22294,30.164372,1.1064836929189803,14.332167,1.992598,0.13902977826032867,3.1938,3.35349,0.155262,0.04629863217126039
gwembe,2024,18.565392,15.755392,26.965044,0.7630475830206583,25.877575,17.366008,0.6710832834993232,3.7516,0.764855,0.24999,0.32684626497832925
ikeleng'i,2022,25.739911,23.739911,7.542965,0.29304549654425766,11.938162,4.492965,0.37635316056190227,NA,NA,NA,NA
ikeleng'i,2023,28.198221,28.08254,32.227173,1.1428796518759108,15.269337,13.605565,0.8910383600807291,2.529,0.311168,0.180056,0.5786456190867956
ikeleng'i,2024,11.058382,8.358382,23.105115,0.9378386354879052,12.663446,9.640677,0.7612996494003291,3.89255,1.023886,0.182694,0.17843197387209123
isoka,2022,25.739911,23.739911,3.979308,0.15459680493844755,11.938162,0,0,NA,NA,NA,NA
isoka,2023,27.311339,26.322678,28.688456,1.050422903102627,14.78909,3.504593,0.23697151075556372,1.89366,0.120852,0,0
isoka,2024,9.2,6.5,30.135246,0.9294968728630768,21.007044,14.987772,0.7134641123234664,6.004984,1.527352,0,0
itezhitezhi,2022,25.739911,23.739911,6.458376,0.25090902606462,11.938162,3.027116,0.2535663362584626,NA,NA,NA,NA
itezhitezhi,2023,27.26147,26.22294,26.1911,0.9607368934984064,15.32445,13.946783,0.9101000688442326,5.301254,6.421415,0.366646,0.05709738429925491
itezhitezhi,2024,9.25,6.4,27.766908,0.9627768174557386,18.432701,17.947063,0.9736534542604472,2.349618,8.496203,1.009906,0.11886556853690997
kabompo,2022,25.739911,23.739911,3.514525,0.13653990489710707,11.938162,0,0,NA,NA,NA,NA
kabompo,2023,28.198221,28.08254,24.504837,0.8690206733254555,15.269337,9.913547,0.6492454125545857,5.873196,1.280554,0,0
kabompo,2024,23.435,20.435,43.395195,0.9184834616149506,32.084545,31.304959,0.9757021332233324,4.71032,0.366893,0.025206,0.06870122896866389
